name,year,award,movie,win
Arthur Kennedy,1951,ACTOR,Bright Victory,False
Fredric March,1951,ACTOR,Death of a Salesman,False
Leo Genn,1951,ACTOR IN A SUPPORTING ROLE,Quo Vadis,False
Kevin McCarthy,1951,ACTOR IN A SUPPORTING ROLE,Death of a Salesman,False
Karl Malden,1951,ACTOR IN A SUPPORTING ROLE,A Streetcar Named Desire,True
Peter Ustinov,1951,ACTOR IN A SUPPORTING ROLE,Quo Vadis,False
Gig Young,1951,ACTOR IN A SUPPORTING ROLE,Come Fill the Cup,False
Katharine Hepburn,1951,ACTRESS,The African Queen,False
Vivien Leigh,1951,ACTRESS,A Streetcar Named Desire,True
Eleanor Parker,1951,ACTRESS,Detective Story,False
Shelley Winters,1951,ACTRESS,A Place in the Sun,False
Jane Wyman,1951,ACTRESS,The Blue Veil,False
Joan Blondell,1951,ACTRESS IN A SUPPORTING ROLE,The Blue Veil,False
Mildred Dunnock,1951,ACTRESS IN A SUPPORTING ROLE,Death of a Salesman,False
Lee Grant,1951,ACTRESS IN A SUPPORTING ROLE,Detective Story,False
Kim Hunter,1951,ACTRESS IN A SUPPORTING ROLE,A Streetcar Named Desire,True
Thelma Ritter,1951,ACTRESS IN A SUPPORTING ROLE,The Mating Season,False
Marlon Brando,1952,ACTOR,Viva Zapata!,False
Gary Cooper,1952,ACTOR,High Noon,True
Kirk Douglas,1952,ACTOR,The Bad and the Beautiful,False
José Ferrer,1952,ACTOR,Moulin Rouge,False
Alec Guinness,1952,ACTOR,The Lavender Hill Mob,False
Richard Burton,1952,ACTOR IN A SUPPORTING ROLE,My Cousin Rachel,False
Arthur Hunnicutt,1952,ACTOR IN A SUPPORTING ROLE,The Big Sky,False
Victor McLaglen,1952,ACTOR IN A SUPPORTING ROLE,The Quiet Man,False
Jack Palance,1952,ACTOR IN A SUPPORTING ROLE,Sudden Fear,False
Anthony Quinn,1952,ACTOR IN A SUPPORTING ROLE,Viva Zapata!,True
Shirley Booth,1952,ACTRESS,"Come Back, Little Sheba",True
Joan Crawford,1952,ACTRESS,Sudden Fear,False
Bette Davis,1952,ACTRESS,The Star,False
Julie Harris,1952,ACTRESS,The Member of the Wedding,False
Susan Hayward,1952,ACTRESS,With a Song in My Heart,False
Gloria Grahame,1952,ACTRESS IN A SUPPORTING ROLE,The Bad and the Beautiful,True
Jean Hagen,1952,ACTRESS IN A SUPPORTING ROLE,Singin' in the Rain,False
Colette Marchand,1952,ACTRESS IN A SUPPORTING ROLE,Moulin Rouge,False
Terry Moore,1952,ACTRESS IN A SUPPORTING ROLE,"Come Back, Little Sheba",False
